Provider,PotentialFraud,inp_claim_count,inp_total_reimb,inp_mean_reimb,inp_unique_bene,outp_claim_count,outp_total_reimb,outp_mean_reimb,outp_unique_bene,total_claim_count,total_reimb,total_unique_bene,claims_per_bene,inp_to_outp_ratio
PRV51001,No,3.0,51000.0,17000.0,3.0,1.0,20.0,20.0,1.0,4.0,51020.0,4.0,0.8,1.5
PRV51003,Yes,36.0,257000.0,7138.888888888889,29.0,8.0,7380.0,922.5,8.0,44.0,264380.0,37.0,1.1578947368421053,4.0
PRV51004,No,,,,,5.0,2380.0,476.0,5.0,5.0,2380.0,5.0,0.8333333333333334,0.0
PRV51005,Yes,,,,,76.0,15920.0,209.47368421052633,24.0,76.0,15920.0,24.0,3.04,0.0
PRV51007,No,3.0,19000.0,6333.333333333333,3.0,4.0,440.0,110.0,2.0,7.0,19440.0,5.0,1.1666666666666667,0.6
PRV51008,No,,,,,2.0,100.0,50.0,2.0,2.0,100.0,2.0,0.6666666666666666,0.0
PRV51011,No,1.0,5000.0,5000.0,1.0,7.0,1080.0,154.28571428571428,5.0,8.0,6080.0,6.0,1.1428571428571428,0.125
PRV51012,No,,,,,1.0,50.0,50.0,1.0,1.0,50.0,1.0,0.5,0.0
PRV51013,No,,,,,2.0,30.0,15.0,2.0,2.0,30.0,2.0,0.6666666666666666,0.0
PRV51014,No,,,,,2.0,40.0,20.0,2.0,2.0,40.0,2.0,0.6666666666666666,0.0
PRV51015,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51016,No,,,,,1.0,10.0,10.0,1.0,1.0,10.0,1.0,0.5,0.0
PRV51017,No,,,,,28.0,6970.0,248.92857142857142,25.0,28.0,6970.0,25.0,1.0769230769230769,0.0
PRV51021,Yes,18.0,185000.0,10277.777777777777,15.0,13.0,3430.0,263.84615384615387,12.0,31.0,188430.0,27.0,1.1071428571428572,1.2857142857142858
PRV51023,No,4.0,22000.0,5500.0,4.0,3.0,3780.0,1260.0,3.0,7.0,25780.0,7.0,0.875,1.0
PRV51024,No,7.0,47000.0,6714.285714285715,7.0,1.0,100.0,100.0,1.0,8.0,47100.0,8.0,0.8888888888888888,3.5
PRV51025,No,8.0,53000.0,6625.0,7.0,6.0,2920.0,486.6666666666667,4.0,14.0,55920.0,11.0,1.1666666666666667,1.1428571428571428
PRV51026,No,,,,,6.0,3730.0,621.6666666666666,6.0,6.0,3730.0,6.0,0.8571428571428571,0.0
PRV51027,No,,,,,1.0,100.0,100.0,1.0,1.0,100.0,1.0,0.5,0.0
PRV51029,No,,,,,8.0,2700.0,337.5,6.0,8.0,2700.0,6.0,1.1428571428571428,0.0
PRV51030,No,43.0,363000.0,8441.860465116279,38.0,6.0,770.0,128.33333333333334,5.0,49.0,363770.0,43.0,1.1136363636363635,6.142857142857143
PRV51031,No,15.0,177000.0,11800.0,13.0,12.0,3340.0,278.3333333333333,11.0,27.0,180340.0,24.0,1.08,1.1538461538461537
PRV51032,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51035,No,1.0,29000.0,29000.0,1.0,4.0,240.0,60.0,3.0,5.0,29240.0,4.0,1.0,0.2
PRV51036,No,,,,,28.0,9710.0,346.7857142857143,14.0,28.0,9710.0,14.0,1.8666666666666667,0.0
PRV51037,Yes,9.0,78000.0,8666.666666666666,8.0,28.0,5390.0,192.5,15.0,37.0,83390.0,23.0,1.5416666666666667,0.3103448275862069
